,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status,med_detail_batch_id,med_detail_scrape_date,med_detail_scrape_status,title,upload_date,duration,plays,rating,reviews,track_type,activity,suitable_for,topics,description,meditation_url,image_url
9322,rvaheartfulness,/guided-meditations/f3t8a1d1h3k9m3n0s0k7u5y9k4h8k6r1z2q5e7s1,5,2022-12-13 13:25:35.589703,meditation found,63,2022-12-16 22:48:25.973011,title found,Learn to Relax & Sleep,2018-08-29T12:26:19.000Z,PT6M50S,9k,4.42,262,guided,Meditation,Everyone,"Sleep,Visualization,Psychology,Relaxation Meditation,Spirituality,Science,Spirituality",This is a Heartfulness Guided Relaxation. This will help relax various parts of the body and prepare you for meditation. This practice can also be used before going to bed to improve your quality of sleep and help with your peace of mind.,https://insighttimer.com/rvaheartfulness/guided-meditations/learn-to-relax-and-sleep,https://libraryitems.insighttimer.com/f3t8a1d1h3k9m3n0s0k7u5y9k4h8k6r1z2q5e7s1/pictures/tiny_rectangle_medium.jpeg
9323,rvaheartfulness,/guided-meditations/s6c9k5t1b0m4q8y7h5b5r3c0y5t9v9e3j4q6g3g3,5,2022-12-13 13:25:35.590682,meditation found,63,2022-12-16 22:48:49.732733,title found,Introduction To Cleaning And Rejuvination,2018-09-04T12:34:42.000Z,PT44M31S,2k,4.29,35,guided,Meditation,Everyone,"Energy,Mindfulness,Yoga,Spiritual,Spirituality,Mindfulness Meditation","Heartfulness Cleaning Meditation is done in the evenings, or after all the days work is completed as means of relaxing or centering yourself. This meditation is typically done for 15 to 30 minutes, however, can also be taken for a short time duration. During this cleaning practice, we use our will to remove stress, tension, and negative vibrations, impressions or impurities, from the physical and energetic body. ",https://insighttimer.com/rvaheartfulness/guided-meditations/cleaning-and-rejuvination,https://libraryitems.insighttimer.com/s6c9k5t1b0m4q8y7h5b5r3c0y5t9v9e3j4q6g3g3/pictures/tiny_rectangle_medium.jpeg
9324,rvaheartfulness,/guided-meditations/q2s5z4s4w1p8r3d7e3y8v3l1h8q6t3n6e3t4f0p9,5,2022-12-13 13:25:35.592682,meditation found,63,2022-12-16 22:48:51.975118,title found,Connecting With Our Inner Self,2018-09-04T12:34:46.000Z,PT32M52S,2k,4.26,34,guided,Meditation,Everyone,"Energy,Visualization,Self-Compassion,Yoga,Spiritual,Spirituality","In this final meditation class, led by renowned spiritual teacher, Daaji, you will learn to connect with your Inner Self by listening to the heart’s voice. As this practice invites you to make a constant and deep connection with the heart, you will allow yourself to observe your deepest feelings, make wise choices and weave your destiny. Use this practice to gain a newfound sense of Self compassion, love and wisdom. 
",https://insighttimer.com/rvaheartfulness/guided-meditations/connecting-with-innerself,https://libraryitems.insighttimer.com/q2s5z4s4w1p8r3d7e3y8v3l1h8q6t3n6e3t4f0p9/pictures/tiny_rectangle_medium.jpeg
9325,rvaheartfulness,/guided-meditations/j8p5z1m7c2p8u0d2m5d4c4m3a4c4v9n7r6x4a3m8,5,2022-12-13 13:25:35.593686,meditation found,63,2022-12-16 22:48:54.575525,title found,Learn To Meditate On Heartfulness,2018-09-04T12:33:57.000Z,PT46M32S,2k,4.68,40,guided,Meditation,Everyone,"Energy,Yoga,Gentle Repetition,Spiritual,Spirituality,Raja Yoga Meditation","""Experience is the gold that backs the currency of knowledge."" Without experience, all knowledge stays abstract and hollow. This is a guided Heartfulness Meditation with Yogic Transmission. Heartfulness is a path of experiencing our inner Self, through teaching us to dive deep into our heart, and be in a natural state of love, peace, and calmness. This practice allows you to experience lightness, clarity and balance in the heart.  ",https://insighttimer.com/rvaheartfulness/guided-meditations/heartfulness-meditation,https://libraryitems.insighttimer.com/j8p5z1m7c2p8u0d2m5d4c4m3a4c4v9n7r6x4a3m8/pictures/tiny_rectangle_medium.jpeg
9326,rvaheartfulness,/guided-meditations/w6u1g7m3v5u9u3f3p6c2t2j7v5u3d2g8a6p2u8k2,5,2022-12-13 13:25:35.595340,meditation found,63,2022-12-16 22:48:59.450934,title found,Learn To Meditate,2018-08-29T12:29:46.000Z,PT5M24S,925,4.36,22,guided,Meditation,Everyone,"Performance,Energy,Consciousness,New Age,Raja Yoga,Motivation,Yoga,Gentle Repetition,Spiritual,Healing,Recovery & Healing,Metaphysics,Movement,Spirituality,Raja Yoga Meditation",This is a Hindi guided relaxation and meditation on heart. Allowing oneself to relax completely and switch in to Meditation. This can be practiced by all levels.,https://insighttimer.com/rvaheartfulness/guided-meditations/learn-to-meditate,https://libraryitems.insighttimer.com/w6u1g7m3v5u9u3f3p6c2t2j7v5u3d2g8a6p2u8k2/pictures/tiny_rectangle_medium.jpeg
9327,pereadam,/guided-meditations/y6a4v9l3t0h5g5w8e1t6b3x5h3r3a8u8t0m1b8u8,5,2022-12-13 13:25:59.276868,meditation found,63,2022-12-16 22:49:02.547322,title found,להרגיע תודעה בוערת ,2021-08-08T19:56:54.000Z,PT15M40S,362,4.79,42,guided,Meditation,Everyone,"Mindfulness,Concentration,Buddhism,Mindfulness Meditation,Happiness,Secular,Health & Happiness,Secular Mindfulness,Breathing Meditation","כשיושביםות לתרגל - צריך להבין מה התרגול שנכון לי עכשיו? 
התרגול הזה נועד לזמנים בהם התודעה עצבנית, חסרת מנוחה. כשיש בתוכנו אנרגיה תזזיתית צריך תרגול ששם דגש על הרגעה, קבלה, רכות ונוחות
כמו רופא שבודק חולה היטב ואז מחליט מה התרופה המתאימה, כך נשב בתחילת תרגול ונשאל מה שלומנו? ",https://insighttimer.com/pereadam/guided-meditations/lhrgy`-tvdh-bvrt,https://libraryitems.insighttimer.com/y6a4v9l3t0h5g5w8e1t6b3x5h3r3a8u8t0m1b8u8/pictures/tiny_rectangle_medium.jpeg
9328,pereadam,/guided-meditations/c7n2c3s7f3c8k1r9j4b5a8v8a6z2e4z1w1v6b0u0,5,2022-12-13 13:25:59.279394,meditation found,63,2022-12-16 22:49:05.140292,title found,קצת אהבה לא תזיק - תרגול של חמלה ואהבה ,2021-06-09T07:29:10.000Z,PT15M3S,331,4.69,35,guided,Meditation,Everyone,"Performance,Visualization,Mindfulness,Buddhism,Mindfulness Meditation,Clarity,Secular,Health & Happiness,Healing,Insight Meditation,Recovery & Healing,Contemporary Buddhism,Loving-Kindness (Metta),Secular Mindfulness,Spirituality,Flow","״תוכל לחפש בכל העולם, ולא תמצא מישהו שיותר ראוי לאהבה - מאשר אתה עצמך״
כל דבר שאנחנו חוזרים עליו שוב ושוב הופך להיות הרגל. מה שאנחנו מתאמנים בו, גדל ומתחזק. אפשר לאמן את עצמנו להיות טובים/ות לעצמנו.

תרגול של אהבה וחמלה שמתחיל בעצמנו, אבל לא נעצר שם...
",https://insighttimer.com/pereadam/guided-meditations/qtst-hbh-l-tzyq-trgvl-shl-khmlh-vhbh,https://libraryitems.insighttimer.com/c7n2c3s7f3c8k1r9j4b5a8v8a6z2e4z1w1v6b0u0/pictures/tiny_rectangle_medium.jpeg
9329,pereadam,/guided-meditations/b1z6h5g0d2l6w7y8r3d4z4b4d6p9k5a1f1r5q9z2,5,2022-12-13 13:25:59.280392,meditation found,63,2022-12-16 22:49:09.689415,title found,מדיטציה לחציית שטפון,2021-06-14T19:58:52.000Z,PT21M11S,327,4.93,28,guided,Meditation,Everyone,"Acceptance,Health & Happiness,Concentration,Buddhism,Contemporary Buddhism,Spirituality,Breathing Meditation","איך שוחים במים סוערים? באחת מדרשות הבודהה מדבר על השטפון החזקה שעובר עלינו בשעת כעס או בלבול. במדיטציה הזאת נתרגל לשים לב כשאנחנו נסחפים/ות, ומה לעשות ברגעים האלה. 

״אדוני היקר, איך הצלחת לחצות את השיטפון

""מבלי להשתהות ומבלי לדחוף בכוח, כך חציתי את השיטפון.""

""אבל איך אדוני היקר, מבלי להשתהות ומבלי לדחוף בכוח, חצית את השיטפון?""

""חבר, כאשר עמדתי מלכת, שקעתי.
כאשר דחפתי בכוח, נסחפתי.""
""כך חבר, מבלי להשתהות ומבלי לדחוף בכוח,
חציתי את השיטפון.""          ",https://insighttimer.com/pereadam/guided-meditations/mdyttsyh-lkhtsyyt-shtpvn,https://libraryitems.insighttimer.com/b1z6h5g0d2l6w7y8r3d4z4b4d6p9k5a1f1r5q9z2/pictures/tiny_rectangle_medium.jpeg
9330,pereadam,/guided-meditations/q7n7b1b8s9y0r6t4w8r0n0l3l7h7z2j9m9h4r2f1,5,2022-12-13 13:25:59.282398,meditation found,63,2022-12-16 22:49:12.172591,title found,אימון ב אי-מאמץ ,2021-06-14T20:07:03.000Z,PT14M57S,285,4.65,37,guided,Meditation,Everyone,"Health & Happiness,Concentration,Grounded,Spirituality,Breathing Meditation,Nondualism","תרגול תשומת הלב עם הנשימה מספק לנו הזדמנותלהביא תשומת לב סקרנית וידידותית אל הדברים כפי שהם מתגלים מרגע לרגע, בלי המעמסה של החובה לשנות אותם. אין שום מטרה להשיג, חוץ מלהביא את תשומת הלב הפתוחה לחוויה. 
ֿמכוונים את הכוונה שלנו להרגיע ולייצב את המיינד ומניחות את התשומת לב על הנשימה. ברגע שתתחילו לתרגל נפגוש את מוח הקוף-כשמחשבות ורגשות קופצות בלי שליטה. זה נורמלי וצפוי,  פשוט צריך אימון בהתמקדות ויציבות ערה ונלמד לעשות את זה על ידי חזרה בפשטות אל הנשימה שלנו והגוף שלנו כשנבחין שנדדנו.",https://insighttimer.com/pereadam/guided-meditations/ymvn-b-y-mmts,https://libraryitems.insighttimer.com/q7n7b1b8s9y0r6t4w8r0n0l3l7h7z2j9m9h4r2f1/pictures/tiny_rectangle_medium.jpeg
9331,pereadam,/guided-meditations/t2r9v2u8g2m9h6z8r0z6y0b9x9m9r4h7c7c5b5r4,5,2022-12-13 13:25:59.283396,meditation found,63,2022-12-16 22:49:17.261695,title found,כל מה שצריך נמצא כאן ועכשיו - מדיטציה פשוטה,2021-11-10T19:31:35.000Z,PT11M28S,265,4.79,19,guided,Meditation,Everyone,"Secular,Health & Happiness,Concentration,Grounded,Secular Mindfulness,Breathing Meditation","מחשבות, רגשות, צלילים, ווטסאפ, נטפליקס, ריבים, משימות, עבודה, יחסים, אין סוף. התרגול הזה מאפשר לנו לעצור, להתמקד, לאסוף את תשומת הלב והתודעה ולנוח על תחושת הנשימה.

הנשימה מלווה אותנו מרגע הלידה ועד הנשימה האחרונה שלנו, ולכן נוכל לסמוך עליה - שכל מה שאנחנו אי פעם נצטרך נמצא כאן ועכשיו. ",https://insighttimer.com/pereadam/guided-meditations/kl-mh-shtsryk-nmts-kn-vkshyv-mdyttsyh-pshvth,https://libraryitems.insighttimer.com/t2r9v2u8g2m9h6z8r0z6y0b9x9m9r4h7c7c5b5r4/pictures/tiny_rectangle_medium.jpeg
9332,pereadam,/guided-meditations/s7a6q7g6k7w2f3w3e9v1e9g5y0z2z4c4b5q9m5y8,5,2022-12-13 13:25:59.284975,meditation found,63,2022-12-16 22:49:19.439475,title found,כשהדברים מתפרקים - מדיטציה לזמנים קשים,2021-08-22T20:02:50.000Z,PT28M44S,218,4.59,17,guided,Meditation,Everyone,"Performance,Visualization,Mindfulness,Buddhism,Mindfulness Meditation,Clarity,Secular,Health & Happiness,Healing,Insight Meditation,Recovery & Healing,Contemporary Buddhism,Loving-Kindness (Metta),Secular Mindfulness,Spirituality,Flow","זמנים קשים הם הזמן האמיתי לתרגול, כי שם אפשר לראות את האדמה הרעועה שאנחנו דורכים עליה, וכשנכיר בזה נמצא יציבות. 

“Whether it is separated into drops or not, water is water. Our life and death are the same thing. When we realize this fact we have no fear of death anymore, and we have no actual difficulty in our life. “

– Shunryu Suzuki ",https://insighttimer.com/pereadam/guided-meditations/kshhdbrym-mtprqym-mdyttsyh-lzmnym-qshym,https://libraryitems.insighttimer.com/s7a6q7g6k7w2f3w3e9v1e9g5y0z2z4c4b5q9m5y8/pictures/tiny_rectangle_medium.jpeg
9333,pereadam,/guided-meditations/f6r2b2m4n1y5n1q2z2r9w0r8k8t7t3t2s7m7u3c8,5,2022-12-13 13:25:59.285907,meditation found,63,2022-12-16 22:49:22.099044,title found,מ.א.ה - מיני מדיטציה,2021-06-09T20:27:56.000Z,PT3M17S,216,4.59,37,guided,Meditation,Everyone,"Secular,Stress & Anxiety,SOS,Concentration,Buddhism,Secular Mindfulness,Breathing Meditation","מ: מפגש, מה שלומי, מה קורה בתוכי עכשיו
א: איסוף של התודעה אל הנשימה עמוק בגופי
ה: התרחבות מהנשימה אל כל הגוף הנושם וכל מה שקיים בי

תרגול קצר שאפשר לעשות בכל מקום. אפשר לעשות אותו במשך שלוש דקות, וגם במשך שניות בודדות - בעיניים עצומות או פקוחות. מורכב מ3 שלבים שאני מציע ללמוד בע״פ ככה שיוכל לשמש אותנו כשנזדקק לו.  צעד בונוס - פעולה: אחרי שפגשתי את עצמי בשלושת השלבים, אפשר לשאול מה אני עלי לעשות כדי לטפל בעצמי עכשיו?",https://insighttimer.com/pereadam/guided-meditations/m-dot-h-myny-mdyttsyh,https://libraryitems.insighttimer.com/f6r2b2m4n1y5n1q2z2r9w0r8k8t7t3t2s7m7u3c8/pictures/tiny_rectangle_medium.jpeg
9334,pereadam,/guided-meditations/h2n9h1n3j1w4p3m8e6t8g0e4s3h4n3g3w4v6s1h8,5,2022-12-13 13:25:59.286907,meditation found,63,2022-12-16 22:49:24.615807,title found,לא בא לי לתרגל - איך לא להיות סלע בנהר החיים,2021-09-06T07:05:45.000Z,PT10M46S,115,4.25,16,guided,Meditation,Everyone,"Health & Happiness,Mindfulness,Grounded,Insight Meditation,Spirituality,Nondualism","הלא-תרגול הזה מתחיל בפעמון הסיום. אין מה להתאמץ. אין מה לעשות. אין מה להשיג. אין לאן להגיע. אין מי להיות. אפשר להפסיק.
כשלא בא לנו לתרגל זה אומר אפשר לשאול מה בא לי שיפסיק? במה אני נלחם? ולהפסיק להלחם ולהתאמץ. 
נהר החיים זורם וכל מה שיש לנו לעשות זה לא להיות סלעים בתוכו.",https://insighttimer.com/pereadam/guided-meditations/l-b-ly-ltrgl-yk-l-lhyvt-sl`-bnhr-hkhyym,https://libraryitems.insighttimer.com/h2n9h1n3j1w4p3m8e6t8g0e4s3h4n3g3w4v6s1h8/pictures/tiny_rectangle_medium.jpeg
9335,pereadam,/guided-meditations/h0x1a4g4a5k6h1c5n2n7w9b8p6g0p9x8h5v9u2z1,5,2022-12-13 13:25:59.287974,meditation found,63,2022-12-16 22:49:31.485016,title found,להשען על ההווה ,2021-07-15T06:29:36.000Z,PT45M47S,99,4.17,6,guided,Meditation,Everyone,"Health & Happiness,Mindfulness,Zen - Zazen,Grounded,Spirituality,Nondualism","כמו שהעץ לא מנסה להיות שום דבר, אלא לבטא את הטבע, ככה הישיבה שלנו מבטאת את היותנו אנושיים ואנושיות.
תרגול המדיטציה הוא המקום בו אנחנו מטיילים בטבע האנושי, ולא מבקשים/ות ממנו כלום, חוץ מלהתבונן בפלא שלו. 

מדיטצייה של 45 דקות, שנשענת על זרם ה'זן' בודהיזם היפני.",https://insighttimer.com/pereadam/guided-meditations/lhshn-l-hhvvh,https://libraryitems.insighttimer.com/h0x1a4g4a5k6h1c5n2n7w9b8p6g0p9x8h5v9u2z1/pictures/tiny_rectangle_medium.jpeg
9336,pereadam,/guided-meditations/x7a6j4a9h5u0g6n3e7y9h4w0x0r1r8c2j6x0w8t2,5,2022-12-13 13:25:59.288985,meditation found,63,2022-12-16 22:49:33.995453,title found,מנוחה עמוקה (גרסה קצרה),2021-11-24T05:22:51.000Z,PT13M21S,91,4.88,8,guided,Meditation,Everyone,"Secular,Health & Happiness,Mindfulness,Grounded,Mindfulness Meditation,Secular Mindfulness","נזמין את הגוף, שכל היום מגן עלינו, אוכל ויוצר אנרגיה, מביא אותנו ממקום למקום.. לנוח

נזמין את הלב, שכואב בשבילינו, אוהב נפתח נסגר נפגש ונפתח שוב... לנוח

נזמין את המוח, את השכל...
שכל היום פותר בשבלינו בעיות, חושב על סכנות, מעבד את העבר ומתכנן את העתיד... לנוח
",https://insighttimer.com/pereadam/guided-meditations/mnvkhh-mvqh-grsh-qtsrh,https://libraryitems.insighttimer.com/x7a6j4a9h5u0g6n3e7y9h4w0x0r1r8c2j6x0w8t2/pictures/tiny_rectangle_medium.jpeg
9337,pereadam,/guided-meditations/c2p9f7f9m4t3p6p8k2u3f4f5w0r2f8b3h3v2w5n6,5,2022-12-13 13:25:59.289982,meditation found,63,2022-12-16 22:49:39.464570,title found,קצת אהבה לא תזיק (5 דקות),2022-05-08T08:47:35.000Z,PT6M31S,90,4.5,4,guided,Meditation,Everyone,"Performance,Visualization,Mindfulness,Buddhism,Mindfulness Meditation,Clarity,Secular,Health & Happiness,Healing,Insight Meditation,Recovery & Healing,Contemporary Buddhism,Loving-Kindness (Metta),Secular Mindfulness,Spirituality,Flow","הכוונה והיכולת להציע שמחה ואושר. כדי לפתח יכולת זו, עלינו להתאמן בהסתכלות והקשבה עמוקה כדי שנדע מה לעשות ומה לא לעשות בכדי לגרום לאחרים להיות מאושרים.ות. אם את.ה מציע.ה לאהובת.ך משהו שהיא/הוא לא צריכ.ה, זו לא נדיבות לב. צריך לראות את מצבה.ו האמיתי אחרת מה שאת.ה מציע.ה עלול לגרום לאומללות.

ללא הבנה, אהבתך איננה אהבת אמת. עליך להסתכל לעומק על מנת לראות ולהבין את הצרכים, השאיפות והסבל של האדם שאת.ה אוהב.ת. כולנו זקוקים לאהבה. אהבה מביאה לנו שמחה ורווחה. זה טבעי כמו אוויר לנשימה: אנחנו צריכים.ות א",https://insighttimer.com/pereadam/guided-meditations/qtst-hbh-l-tzyq-5-dqvt,https://libraryitems.insighttimer.com/c2p9f7f9m4t3p6p8k2u3f4f5w0r2f8b3h3v2w5n6/pictures/tiny_rectangle_medium.jpeg
9338,pereadam,/guided-meditations/c2f3d4j1n8t0x7m6p7c5p8l9r1q1s9z4k9b1v3d8,5,2022-12-13 13:25:59.290993,meditation found,63,2022-12-16 22:49:42.504151,title found,לחבק את החיים כפי שהם,2021-07-25T18:35:52.000Z,PT37M8S,81,5,5,guided,Meditation,Everyone,"Secular,Health & Happiness,Authenticity,Concentration,Buddhism,Secular Mindfulness,Breathing Meditation"," מה מונח מתחת לפרשנות שלנו את החיים? מה יש רגע לפני שאני אומר/ת לעצמי ״זה לא נעים לי! זה חייב להשתנות או שאני אמות!״ ?
מתחת למחשבות שלנו על החיים - זורם נהר החיים עצמו. אפשר להניח יד רכה (או תודעה צלולה) על התחושות שלנו, אפילו אלו הלא נעימות - כאילו אנחנו מרגיעים/ות תינוק. 

התרגול הזה הוא אחת הפנינות הבוהקות של הבודהה, ואלו ארבעת השלבים הראשונים מתוכו.

כך מסתיימת הדרשה:
׳כך, תרגול תדיר ורצוף של תשומת לב עם השאיפה והנשיפה נושא פירות ויתרונות רבים.׳",https://insighttimer.com/pereadam/guided-meditations/lkhbq-t-hkhyym-kpy-shhm,https://libraryitems.insighttimer.com/c2f3d4j1n8t0x7m6p7c5p8l9r1q1s9z4k9b1v3d8/pictures/tiny_rectangle_medium.jpeg
